num_impute,cate_impute,scale,pca,encode,r2
none,none,none,none,onehot,-266.45588258461163
none,none,none,none,ordinal,-337.3871026284436
none,none,none,pca_0.95_auto,onehot,-0.029455145970163743
none,none,none,pca_0.95_auto,ordinal,-0.07176679241680994
none,none,none,pca_0.95_full,onehot,-0.02945514597017196
none,none,none,pca_0.95_full,ordinal,-0.07176679241681172
none,none,none,pca_0.99_auto,onehot,-0.029455145970163743
none,none,none,pca_0.99_auto,ordinal,-0.07176679241680994
none,none,none,pca_0.99_full,onehot,-0.02945514597017196
none,none,none,pca_0.99_full,ordinal,-0.07176679241681172
none,none,standard,none,onehot,-266.45588258466074
none,none,standard,none,ordinal,-337.3871026286625
none,none,standard,pca_0.95_auto,onehot,-266.45588258466114
none,none,standard,pca_0.95_auto,ordinal,-337.38710262866493
none,none,standard,pca_0.95_full,onehot,-266.45588258466444
none,none,standard,pca_0.95_full,ordinal,-337.3871026286673
none,none,standard,pca_0.99_auto,onehot,-266.45588258466114
none,none,standard,pca_0.99_auto,ordinal,-337.38710262866493
none,none,standard,pca_0.99_full,onehot,-266.45588258466444
none,none,standard,pca_0.99_full,ordinal,-337.3871026286673
none,none,minmax,none,onehot,-266.4558825846211
none,none,minmax,none,ordinal,-337.38710262859416
none,none,minmax,pca_0.95_auto,onehot,-274.2940718846904
none,none,minmax,pca_0.95_auto,ordinal,-347.7675510939867
none,none,minmax,pca_0.95_full,onehot,-266.45588258466614
none,none,minmax,pca_0.95_full,ordinal,-337.3871026286643
none,none,minmax,pca_0.99_auto,onehot,-266.4558825846631
none,none,minmax,pca_0.99_auto,ordinal,-337.3871026286594
none,none,minmax,pca_0.99_full,onehot,-266.45588258466614
none,none,minmax,pca_0.99_full,ordinal,-337.3871026286643
none,none,robust,none,onehot,-266.4558825846493
none,none,robust,none,ordinal,-337.3871026286623
none,none,robust,pca_0.95_auto,onehot,-0.028734550168896034
none,none,robust,pca_0.95_auto,ordinal,-0.07112940171639193
none,none,robust,pca_0.95_full,onehot,-0.028734550168896256
none,none,robust,pca_0.95_full,ordinal,-0.07112940171639193
none,none,robust,pca_0.99_auto,onehot,-0.028734550168896034
none,none,robust,pca_0.99_auto,ordinal,-0.07112940171639193
none,none,robust,pca_0.99_full,onehot,-0.028734550168896256
none,none,robust,pca_0.99_full,ordinal,-0.07112940171639193
none,none,log1p_robust,none,onehot,0.8271692570107161
none,none,log1p_robust,none,ordinal,0.8174901349306231
none,none,log1p_robust,pca_0.95_auto,onehot,0.8271692570107161
none,none,log1p_robust,pca_0.95_auto,ordinal,0.8174901349306247
none,none,log1p_robust,pca_0.95_full,onehot,0.8271692570107149
none,none,log1p_robust,pca_0.95_full,ordinal,0.8174901349306234
none,none,log1p_robust,pca_0.99_auto,onehot,0.8271692570107161
none,none,log1p_robust,pca_0.99_auto,ordinal,0.8174901349306247
none,none,log1p_robust,pca_0.99_full,onehot,0.8271692570107149
none,none,log1p_robust,pca_0.99_full,ordinal,0.8174901349306234
none,most,none,none,onehot,-266.45588258461163
none,most,none,none,ordinal,-337.3871026284436
none,most,none,pca_0.95_auto,onehot,-0.029455145970163743
none,most,none,pca_0.95_auto,ordinal,-0.07176679241680994
none,most,none,pca_0.95_full,onehot,-0.02945514597017196
none,most,none,pca_0.95_full,ordinal,-0.07176679241681172
none,most,none,pca_0.99_auto,onehot,-0.029455145970163743
none,most,none,pca_0.99_auto,ordinal,-0.07176679241680994
none,most,none,pca_0.99_full,onehot,-0.02945514597017196
none,most,none,pca_0.99_full,ordinal,-0.07176679241681172
none,most,standard,none,onehot,-266.45588258466074
none,most,standard,none,ordinal,-337.3871026286625
none,most,standard,pca_0.95_auto,onehot,-266.45588258466114
none,most,standard,pca_0.95_auto,ordinal,-337.38710262866493
none,most,standard,pca_0.95_full,onehot,-266.45588258466444
none,most,standard,pca_0.95_full,ordinal,-337.3871026286673
none,most,standard,pca_0.99_auto,onehot,-266.45588258466114
none,most,standard,pca_0.99_auto,ordinal,-337.38710262866493
none,most,standard,pca_0.99_full,onehot,-266.45588258466444
none,most,standard,pca_0.99_full,ordinal,-337.3871026286673
none,most,minmax,none,onehot,-266.4558825846211
none,most,minmax,none,ordinal,-337.38710262859416
none,most,minmax,pca_0.95_auto,onehot,-274.2940718846904
none,most,minmax,pca_0.95_auto,ordinal,-347.7675510939867
none,most,minmax,pca_0.95_full,onehot,-266.45588258466614
none,most,minmax,pca_0.95_full,ordinal,-337.3871026286643
none,most,minmax,pca_0.99_auto,onehot,-266.4558825846631
none,most,minmax,pca_0.99_auto,ordinal,-337.3871026286594
none,most,minmax,pca_0.99_full,onehot,-266.45588258466614
none,most,minmax,pca_0.99_full,ordinal,-337.3871026286643
none,most,robust,none,onehot,-266.4558825846493
none,most,robust,none,ordinal,-337.3871026286623
none,most,robust,pca_0.95_auto,onehot,-0.028734550168896034
none,most,robust,pca_0.95_auto,ordinal,-0.07112940171639193
none,most,robust,pca_0.95_full,onehot,-0.028734550168896256
none,most,robust,pca_0.95_full,ordinal,-0.07112940171639193
none,most,robust,pca_0.99_auto,onehot,-0.028734550168896034
none,most,robust,pca_0.99_auto,ordinal,-0.07112940171639193
none,most,robust,pca_0.99_full,onehot,-0.028734550168896256
none,most,robust,pca_0.99_full,ordinal,-0.07112940171639193
none,most,log1p_robust,none,onehot,0.8271692570107161
