num_impute,cate_impute,scale,pca,encode,r2
none,none,standard,none,onehot,0.9665510449331751
none,none,standard,none,ordinal,0.9673183801034495
none,none,standard,pca_0.95_auto,onehot,0.9772504211518059
none,none,standard,pca_0.95_auto,ordinal,0.9655254757588937
none,none,standard,pca_0.95_full,onehot,0.9786889715841234
none,none,standard,pca_0.95_full,ordinal,0.9533388933558203
none,none,standard,pca_0.99_auto,onehot,0.9747325231829365
none,none,standard,pca_0.99_auto,ordinal,0.9729731911832471
none,none,standard,pca_0.99_full,onehot,0.9768094208810827
none,none,standard,pca_0.99_full,ordinal,0.9701594855196255
none,none,minmax,none,onehot,0.9724854479046232
none,none,minmax,none,ordinal,0.9514054721597174
none,none,minmax,pca_0.95_auto,onehot,0.9705384118173562
none,none,minmax,pca_0.95_auto,ordinal,0.9365144535569931
none,none,minmax,pca_0.95_full,onehot,0.9749388477481236
none,none,minmax,pca_0.95_full,ordinal,0.961948092308865
none,none,minmax,pca_0.99_auto,onehot,0.9744955814650649
none,none,minmax,pca_0.99_auto,ordinal,0.962965271999656
none,none,minmax,pca_0.99_full,onehot,0.974748256337482
none,none,minmax,pca_0.99_full,ordinal,0.9228151853108779
none,none,robust,none,onehot,0.9545031210164989
none,none,robust,none,ordinal,0.22883770911356804
none,none,robust,pca_0.95_auto,onehot,0.5330993962404491
none,none,robust,pca_0.95_auto,ordinal,-396971.59922664164
none,none,robust,pca_0.95_full,onehot,0.5364152262849521
none,none,robust,pca_0.95_full,ordinal,0.5536221786058627
none,none,robust,pca_0.99_auto,onehot,0.5778605169385518
none,none,robust,pca_0.99_auto,ordinal,0.5999414416302017
none,none,robust,pca_0.99_full,onehot,0.5410836993365671
none,none,robust,pca_0.99_full,ordinal,0.5707360880238922
none,none,log1p_robust,none,onehot,0.9804880919362382
none,none,log1p_robust,none,ordinal,0.9660825993218235
none,none,log1p_robust,pca_0.95_auto,onehot,0.9817777791999363
none,none,log1p_robust,pca_0.95_auto,ordinal,0.9740972486126313
none,none,log1p_robust,pca_0.95_full,onehot,0.9753085026682705
none,none,log1p_robust,pca_0.95_full,ordinal,0.9713659658691577
none,none,log1p_robust,pca_0.99_auto,onehot,0.9815897693904653
none,none,log1p_robust,pca_0.99_auto,ordinal,0.9685512700746799
none,none,log1p_robust,pca_0.99_full,onehot,0.9778763675966561
none,none,log1p_robust,pca_0.99_full,ordinal,0.9766566231003392
none,most,standard,none,onehot,0.9784441118949636
none,most,standard,none,ordinal,0.9112810219490282
none,most,standard,pca_0.95_auto,onehot,0.9720348898868603
none,most,standard,pca_0.95_auto,ordinal,0.9647189407568527
none,most,standard,pca_0.95_full,onehot,0.9735052048966018
none,most,standard,pca_0.95_full,ordinal,0.9666104072915119
none,most,standard,pca_0.99_auto,onehot,0.9761706499390538
none,most,standard,pca_0.99_auto,ordinal,0.9518429462867348
none,most,standard,pca_0.99_full,onehot,0.9634023161399249
none,most,standard,pca_0.99_full,ordinal,0.9628778237943164
none,most,minmax,none,onehot,0.9700306117409945
none,most,minmax,none,ordinal,0.9579140384281558
none,most,minmax,pca_0.95_auto,onehot,0.9704338593344835
none,most,minmax,pca_0.95_auto,ordinal,0.95450697401703
none,most,minmax,pca_0.95_full,onehot,0.9776236530691571
none,most,minmax,pca_0.95_full,ordinal,0.9620787163709098
none,most,minmax,pca_0.99_auto,onehot,0.9691382214174314
none,most,minmax,pca_0.99_auto,ordinal,0.9339007851887716
none,most,minmax,pca_0.99_full,onehot,0.9743057949606235
none,most,minmax,pca_0.99_full,ordinal,0.9442059299694016
none,most,robust,none,onehot,0.9743678483913613
none,most,robust,none,ordinal,0.9564606061502433
none,most,robust,pca_0.95_auto,onehot,0.5989732456112538
none,most,robust,pca_0.95_auto,ordinal,0.537118457172225
none,most,robust,pca_0.95_full,onehot,0.5245331530109986
none,most,robust,pca_0.95_full,ordinal,0.5015641674642006
none,most,robust,pca_0.99_auto,onehot,0.5183827702239294
none,most,robust,pca_0.99_auto,ordinal,0.5625369589605205
none,most,robust,pca_0.99_full,onehot,0.5528024518698998
none,most,robust,pca_0.99_full,ordinal,0.5065571360273727
none,most,log1p_robust,none,onehot,0.9810931408542989
none,most,log1p_robust,none,ordinal,0.9619159737245009
none,most,log1p_robust,pca_0.95_auto,onehot,0.982762455690069
none,most,log1p_robust,pca_0.95_auto,ordinal,0.9618385747716135
none,most,log1p_robust,pca_0.95_full,onehot,0.9811668666330334
