num_impute,cate_impute,scale,pca,encode,r2
none,none,none,none,onehot,0.9920995072814907
none,none,none,none,ordinal,0.9932842163758662
none,none,none,pca_0.95_auto,onehot,0.7771003140272454
none,none,none,pca_0.95_auto,ordinal,0.7681079760865428
none,none,none,pca_0.95_full,onehot,0.776842867217787
none,none,none,pca_0.95_full,ordinal,0.7715873019583341
none,none,none,pca_0.99_auto,onehot,0.7758031309414506
none,none,none,pca_0.99_auto,ordinal,0.7685654327968874
none,none,none,pca_0.99_auto,onehot,0.7790663245603214
none,none,none,pca_0.99_auto,ordinal,0.7691991237498175
none,none,standard,none,onehot,0.9922704202126553
none,none,standard,none,ordinal,0.9901299740514528
none,none,standard,pca_0.95_auto,onehot,0.9953587933661197
none,none,standard,pca_0.95_auto,ordinal,0.9947104696314251
none,none,standard,pca_0.95_full,onehot,0.9952763875026278
none,none,standard,pca_0.95_full,ordinal,0.9948195717977388
none,none,standard,pca_0.99_auto,onehot,0.9951569876276128
none,none,standard,pca_0.99_auto,ordinal,0.9947935936523615
none,none,standard,pca_0.99_auto,onehot,0.9950631503712307
none,none,standard,pca_0.99_auto,ordinal,0.9947726717185595
none,none,minmax,none,onehot,0.9935668006363388
none,none,minmax,none,ordinal,0.9926396917656678
none,none,minmax,pca_0.95_auto,onehot,0.994457194398238
none,none,minmax,pca_0.95_auto,ordinal,0.9944992286800571
none,none,minmax,pca_0.95_full,onehot,0.9944982671963744
none,none,minmax,pca_0.95_full,ordinal,0.9942375384714689
none,none,minmax,pca_0.99_auto,onehot,0.9943511816985116
none,none,minmax,pca_0.99_auto,ordinal,0.9946646388810485
none,none,minmax,pca_0.99_auto,onehot,0.9946760604272722
none,none,minmax,pca_0.99_auto,ordinal,0.9946611920189503
none,none,robust,none,onehot,0.9924556771157843
none,none,robust,none,ordinal,0.9913645738072826
none,none,robust,pca_0.95_auto,onehot,0.9286157837537745
none,none,robust,pca_0.95_auto,ordinal,0.914591506692835
none,none,robust,pca_0.95_full,onehot,0.9293728470319793
none,none,robust,pca_0.95_full,ordinal,0.9100909269838899
none,none,robust,pca_0.99_auto,onehot,0.9297242845216701
none,none,robust,pca_0.99_auto,ordinal,0.9103029439255864
none,none,robust,pca_0.99_auto,onehot,0.9307134016396241
none,none,robust,pca_0.99_auto,ordinal,0.9164068387065835
none,none,log1p_robust,none,onehot,0.9928161347841503
none,none,log1p_robust,none,ordinal,0.9935364044190872
none,none,log1p_robust,pca_0.95_auto,onehot,0.9902671273842795
none,none,log1p_robust,pca_0.95_auto,ordinal,0.9898550643231873
none,none,log1p_robust,pca_0.95_full,onehot,0.9895430902544856
none,none,log1p_robust,pca_0.95_full,ordinal,0.9900874805570771
none,none,log1p_robust,pca_0.99_auto,onehot,0.9897272595801337
none,none,log1p_robust,pca_0.99_auto,ordinal,0.9896532282614812
none,none,log1p_robust,pca_0.99_auto,onehot,0.9902453015498892
none,none,log1p_robust,pca_0.99_auto,ordinal,0.9899331748333248
none,most,none,none,onehot,0.9935223643591283
none,most,none,none,ordinal,0.9923450106369399
none,most,none,pca_0.95_auto,onehot,0.776366924228489
none,most,none,pca_0.95_auto,ordinal,0.7699973528489165
none,most,none,pca_0.95_full,onehot,0.7789712890839382
none,most,none,pca_0.95_full,ordinal,0.7705169412624604
none,most,none,pca_0.99_auto,onehot,0.7750769676789795
none,most,none,pca_0.99_auto,ordinal,0.7687359523882206
none,most,none,pca_0.99_auto,onehot,0.7774679970834675
none,most,none,pca_0.99_auto,ordinal,0.7706991366774052
none,most,standard,none,onehot,0.9932834841511737
none,most,standard,none,ordinal,0.9915021137490956
none,most,standard,pca_0.95_auto,onehot,0.9949222647577448
none,most,standard,pca_0.95_auto,ordinal,0.9948484394207654
none,most,standard,pca_0.95_full,onehot,0.9954300431842371
none,most,standard,pca_0.95_full,ordinal,0.9949851762499364
none,most,standard,pca_0.99_auto,onehot,0.9954038297636018
none,most,standard,pca_0.99_auto,ordinal,0.9948738597661594
none,most,standard,pca_0.99_auto,onehot,0.9954691786672474
none,most,standard,pca_0.99_auto,ordinal,0.9947737167849502
none,most,minmax,none,onehot,0.99101979878707
none,most,minmax,none,ordinal,0.9904909465628006
none,most,minmax,pca_0.95_auto,onehot,0.9952665219595396
none,most,minmax,pca_0.95_auto,ordinal,0.9944922546440608
none,most,minmax,pca_0.95_full,onehot,0.9948180545849376
none,most,minmax,pca_0.95_full,ordinal,0.9941908050728813
none,most,minmax,pca_0.99_auto,onehot,0.9945672500977506
none,most,minmax,pca_0.99_auto,ordinal,0.994923318908532
none,most,minmax,pca_0.99_auto,onehot,0.9954535649042239
none,most,minmax,pca_0.99_auto,ordinal,0.9951397641858599
none,most,robust,none,onehot,0.9936430001544286
none,most,robust,none,ordinal,0.9920255898331972
none,most,robust,pca_0.95_auto,onehot,0.9283930061002339
none,most,robust,pca_0.95_auto,ordinal,0.9144826176527016
none,most,robust,pca_0.95_full,onehot,0.9293772029645962
none,most,robust,pca_0.95_full,ordinal,0.9118007503415247
none,most,robust,pca_0.99_auto,onehot,0.9278777508244305
none,most,robust,pca_0.99_auto,ordinal,0.9161927933253806
none,most,robust,pca_0.99_auto,onehot,0.9281653222545557
none,most,robust,pca_0.99_auto,ordinal,0.9144326776586412
