num_impute,cate_impute,scale,pca,encode,r2
none,none,none,none,onehot,-109677.21980670092
none,none,none,none,ordinal,-106442.62077498517
none,none,none,pca_0.95_auto,onehot,0.012917695976498389
none,none,none,pca_0.95_auto,ordinal,0.01283876727851363
none,none,none,pca_0.95_full,onehot,0.012917695976541466
none,none,none,pca_0.95_full,ordinal,0.0128387672785234
none,none,none,pca_0.99_auto,onehot,0.012917695976541466
none,none,none,pca_0.99_auto,ordinal,0.0128387672785234
none,none,none,pca_0.99_auto,onehot,0.012917695976541466
none,none,none,pca_0.99_auto,ordinal,0.0128387672785234
none,none,standard,none,onehot,0.9515555695619863
none,none,standard,none,ordinal,0.6830211988238453
none,none,standard,pca_0.95_auto,onehot,0.9515555695619909
none,none,standard,pca_0.95_auto,ordinal,0.6830211988237923
none,none,standard,pca_0.95_full,onehot,0.9515555695619861
none,none,standard,pca_0.95_full,ordinal,0.6830211988237186
none,none,standard,pca_0.99_auto,onehot,0.9515555695619861
none,none,standard,pca_0.99_auto,ordinal,0.6830211988237186
none,none,standard,pca_0.99_auto,onehot,0.9515555695619861
none,none,standard,pca_0.99_auto,ordinal,0.6830211988237186
none,none,minmax,none,onehot,-8029.2825734784865
none,none,minmax,none,ordinal,-37550.20560929656
none,none,minmax,pca_0.95_auto,onehot,-5712.931341013559
none,none,minmax,pca_0.95_auto,ordinal,-40787.82332416398
none,none,minmax,pca_0.95_full,onehot,-5577.490614029699
none,none,minmax,pca_0.95_full,ordinal,-35643.29193888496
none,none,minmax,pca_0.99_auto,onehot,-5577.490614029699
none,none,minmax,pca_0.99_auto,ordinal,-35643.29193888496
none,none,minmax,pca_0.99_auto,onehot,-5577.490614029699
none,none,minmax,pca_0.99_auto,ordinal,-35643.29193888496
none,none,robust,none,onehot,0.40331291487048615
none,none,robust,none,ordinal,0.5038674101181732
none,none,robust,pca_0.95_auto,onehot,0.11360235944110775
none,none,robust,pca_0.95_auto,ordinal,0.07792032825525141
none,none,robust,pca_0.95_full,onehot,0.11360235944107855
none,none,robust,pca_0.95_full,ordinal,0.07792032825520956
none,none,robust,pca_0.99_auto,onehot,0.11360235944107855
none,none,robust,pca_0.99_auto,ordinal,0.07792032825520956
none,none,robust,pca_0.99_auto,onehot,0.11360235944107855
none,none,robust,pca_0.99_auto,ordinal,0.07792032825520956
none,none,log1p_robust,none,onehot,0.9622273704011
none,none,log1p_robust,none,ordinal,0.8782556430356855
none,none,log1p_robust,pca_0.95_auto,onehot,0.9622290236570354
none,none,log1p_robust,pca_0.95_auto,ordinal,0.8786044585701757
none,none,log1p_robust,pca_0.95_full,onehot,0.9622290236570361
none,none,log1p_robust,pca_0.95_full,ordinal,0.8786044585701565
none,none,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
none,none,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
none,none,log1p_robust,pca_0.99_auto,onehot,0.9622290236570361
none,none,log1p_robust,pca_0.99_auto,ordinal,0.8786044585701565
none,most,none,none,onehot,-109677.21980670092
none,most,none,none,ordinal,-106442.62077498517
none,most,none,pca_0.95_auto,onehot,0.012917695976498389
none,most,none,pca_0.95_auto,ordinal,0.01283876727851363
none,most,none,pca_0.95_full,onehot,0.012917695976541466
none,most,none,pca_0.95_full,ordinal,0.0128387672785234
none,most,none,pca_0.99_auto,onehot,0.012917695976541466
none,most,none,pca_0.99_auto,ordinal,0.0128387672785234
none,most,none,pca_0.99_auto,onehot,0.012917695976541466
none,most,none,pca_0.99_auto,ordinal,0.0128387672785234
none,most,standard,none,onehot,0.9515555695619863
none,most,standard,none,ordinal,0.6830211988238453
none,most,standard,pca_0.95_auto,onehot,0.9515555695619909
none,most,standard,pca_0.95_auto,ordinal,0.6830211988237923
none,most,standard,pca_0.95_full,onehot,0.9515555695619861
none,most,standard,pca_0.95_full,ordinal,0.6830211988237186
none,most,standard,pca_0.99_auto,onehot,0.9515555695619861
none,most,standard,pca_0.99_auto,ordinal,0.6830211988237186
none,most,standard,pca_0.99_auto,onehot,0.9515555695619861
none,most,standard,pca_0.99_auto,ordinal,0.6830211988237186
none,most,minmax,none,onehot,-8029.2825734784865
none,most,minmax,none,ordinal,-37550.20560929656
none,most,minmax,pca_0.95_auto,onehot,-5712.931341013559
none,most,minmax,pca_0.95_auto,ordinal,-40787.82332416398
none,most,minmax,pca_0.95_full,onehot,-5577.490614029699
none,most,minmax,pca_0.95_full,ordinal,-35643.29193888496
none,most,minmax,pca_0.99_auto,onehot,-5577.490614029699
none,most,minmax,pca_0.99_auto,ordinal,-35643.29193888496
none,most,minmax,pca_0.99_auto,onehot,-5577.490614029699
none,most,minmax,pca_0.99_auto,ordinal,-35643.29193888496
none,most,robust,none,onehot,0.40331291487048615
none,most,robust,none,ordinal,0.5038674101181732
none,most,robust,pca_0.95_auto,onehot,0.11360235944110775
none,most,robust,pca_0.95_auto,ordinal,0.07792032825525141
none,most,robust,pca_0.95_full,onehot,0.11360235944107855
