num_impute,cate_impute,scale,pca,encode,f1
none,none,none,none,onehot,0.8873465029364656
none,none,none,none,ordinal,0.8687401159725883
none,none,none,pca_0.95_auto,onehot,0.8576177285318559
none,none,none,pca_0.95_auto,ordinal,0.8638170974155069
none,none,none,pca_0.95_full,onehot,0.8724760892667375
none,none,none,pca_0.95_full,ordinal,0.8590534979423868
none,none,none,pca_0.99_auto,onehot,0.8724760892667375
none,none,none,pca_0.99_auto,ordinal,0.8586118251928021
none,none,none,pca_0.99_full,onehot,0.8724760892667375
none,none,none,pca_0.99_full,ordinal,0.8590534979423868
none,none,standard,none,onehot,0.88604898828541
none,none,standard,none,ordinal,0.8682414698162729
none,none,standard,pca_0.95_auto,onehot,0.88604898828541
none,none,standard,pca_0.95_auto,ordinal,0.8682414698162729
none,none,standard,pca_0.95_full,onehot,0.88604898828541
none,none,standard,pca_0.95_full,ordinal,0.8682414698162729
none,none,standard,pca_0.99_auto,onehot,0.88604898828541
none,none,standard,pca_0.99_auto,ordinal,0.8682414698162729
none,none,standard,pca_0.99_full,onehot,0.88604898828541
none,none,standard,pca_0.99_full,ordinal,0.8682414698162729
none,none,minmax,none,onehot,0.8855774348057477
none,none,minmax,none,ordinal,0.8682414698162729
none,none,minmax,pca_0.95_auto,onehot,0.8855774348057477
none,none,minmax,pca_0.95_auto,ordinal,0.8676470588235294
none,none,minmax,pca_0.95_full,onehot,0.8855774348057477
none,none,minmax,pca_0.95_full,ordinal,0.8676470588235294
none,none,minmax,pca_0.99_auto,onehot,0.8855774348057477
none,none,minmax,pca_0.99_auto,ordinal,0.8676470588235294
none,none,minmax,pca_0.99_full,onehot,0.8855774348057477
none,none,minmax,pca_0.99_full,ordinal,0.8676470588235294
none,most,none,none,onehot,0.8873465029364656
none,most,none,none,ordinal,0.8687401159725883
none,most,none,pca_0.95_auto,onehot,0.8576177285318559
none,most,none,pca_0.95_auto,ordinal,0.8638170974155069
none,most,none,pca_0.95_full,onehot,0.8724760892667375
none,most,none,pca_0.95_full,ordinal,0.8590534979423868
none,most,none,pca_0.99_auto,onehot,0.8724760892667375
none,most,none,pca_0.99_auto,ordinal,0.8586118251928021
none,most,none,pca_0.99_full,onehot,0.8724760892667375
none,most,none,pca_0.99_full,ordinal,0.8590534979423868
none,most,standard,none,onehot,0.88604898828541
none,most,standard,none,ordinal,0.8682414698162729
none,most,standard,pca_0.95_auto,onehot,0.88604898828541
none,most,standard,pca_0.95_auto,ordinal,0.8682414698162729
none,most,standard,pca_0.95_full,onehot,0.88604898828541
none,most,standard,pca_0.95_full,ordinal,0.8682414698162729
none,most,standard,pca_0.99_auto,onehot,0.88604898828541
none,most,standard,pca_0.99_auto,ordinal,0.8682414698162729
none,most,standard,pca_0.99_full,onehot,0.88604898828541
none,most,standard,pca_0.99_full,ordinal,0.8682414698162729
none,most,minmax,none,onehot,0.8855774348057477
none,most,minmax,none,ordinal,0.8682414698162729
none,most,minmax,pca_0.95_auto,onehot,0.8855774348057477
none,most,minmax,pca_0.95_auto,ordinal,0.8676470588235294
none,most,minmax,pca_0.95_full,onehot,0.8855774348057477
none,most,minmax,pca_0.95_full,ordinal,0.8676470588235294
