num_impute,cate_impute,scale,pca,encode,f1
none,none,none,none,onehot,0.9034028540065862
none,none,none,none,ordinal,0.908992999461497
none,none,none,pca_0.95_auto,onehot,0.8629333333333333
none,none,none,pca_0.95_auto,ordinal,0.8657357679914071
none,none,none,pca_0.95_full,onehot,0.8812466415905427
none,none,none,pca_0.95_full,ordinal,0.8793195108984583
none,none,none,pca_0.99_auto,onehot,0.8816503800217155
none,none,none,pca_0.99_auto,ordinal,0.8674698795180723
none,none,none,pca_0.99_full,onehot,0.8776978417266187
none,none,none,pca_0.99_full,ordinal,0.8796592119275826
none,none,standard,none,onehot,0.8803986710963455
none,none,standard,none,ordinal,0.8946808510638298
none,none,standard,pca_0.95_auto,onehot,0.8907376594564614
none,none,standard,pca_0.95_auto,ordinal,0.8972677595628415
none,none,standard,pca_0.95_full,onehot,0.8799114554510238
none,none,standard,pca_0.95_full,ordinal,0.8933189655172413
none,none,standard,pca_0.99_auto,onehot,0.8838243468593663
none,none,standard,pca_0.99_auto,ordinal,0.8908202064095601
none,none,standard,pca_0.99_full,onehot,0.8909795240730493
none,none,standard,pca_0.99_full,ordinal,0.8797783933518005
none,none,minmax,none,onehot,0.8778330569375346
none,none,minmax,none,ordinal,0.8964013086150491
none,none,minmax,pca_0.95_auto,onehot,0.8871851040525739
none,none,minmax,pca_0.95_auto,ordinal,0.8929359823399559
none,none,minmax,pca_0.95_full,onehot,0.8754134509371555
none,none,minmax,pca_0.95_full,ordinal,0.8904479222881814
none,none,minmax,pca_0.99_auto,onehot,0.8808743169398907
none,none,minmax,pca_0.99_auto,ordinal,0.8913978494623656
none,none,minmax,pca_0.99_full,onehot,0.8875611080934275
none,none,minmax,pca_0.99_full,ordinal,0.8932764140875133
none,most,none,none,onehot,0.9017660044150111
none,most,none,none,ordinal,0.9032943676939427
none,most,none,pca_0.95_auto,onehot,0.8653326122228231
none,most,none,pca_0.95_auto,ordinal,0.8632004038364463
none,most,none,pca_0.95_full,onehot,0.8754885538805137
none,most,none,pca_0.95_full,ordinal,0.8761108207004704
none,most,none,pca_0.99_auto,onehot,0.881004366812227
none,most,none,pca_0.99_auto,ordinal,0.8730853391684902
none,most,none,pca_0.99_full,onehot,0.8680479825517994
none,most,none,pca_0.99_full,ordinal,0.8666303756124115
none,most,standard,none,onehot,0.8910891089108911
none,most,standard,none,ordinal,0.882515168229454
none,most,standard,pca_0.95_auto,onehot,0.8947368421052632
none,most,standard,pca_0.95_auto,ordinal,0.8834628190899001
none,most,standard,pca_0.95_full,onehot,0.8872848417545808
none,most,standard,pca_0.95_full,ordinal,0.889505830094392
none,most,standard,pca_0.99_auto,onehot,0.8859504132231405
none,most,standard,pca_0.99_auto,ordinal,0.8871420550252667
none,most,standard,pca_0.99_full,onehot,0.8846364133406233
none,most,standard,pca_0.99_full,ordinal,0.8926430517711171
none,most,minmax,none,onehot,0.8873390557939914
none,most,minmax,none,ordinal,0.8955223880597015
none,most,minmax,pca_0.95_auto,onehot,0.8803512623490669
none,most,minmax,pca_0.95_auto,ordinal,0.8972972972972973
none,most,minmax,pca_0.95_full,onehot,0.884256719692814
none,most,minmax,pca_0.95_full,ordinal,0.8900979325353645
none,most,minmax,pca_0.99_auto,onehot,0.8810429114611624
none,most,minmax,pca_0.99_auto,ordinal,0.8932249322493225
none,most,minmax,pca_0.99_full,onehot,0.8793388429752066
none,most,minmax,pca_0.99_full,ordinal,0.8897297297297297
mean,none,none,none,onehot,0.8973932334997227
mean,none,none,none,ordinal,0.9010752688172043
mean,none,none,pca_0.95_auto,onehot,0.8713294180459157
mean,none,none,pca_0.95_auto,ordinal,0.8626402993051844
mean,none,none,pca_0.95_full,onehot,0.8852108916177256
mean,none,none,pca_0.95_full,ordinal,0.8793103448275862
mean,none,none,pca_0.99_auto,onehot,0.8844919786096257
mean,none,none,pca_0.99_auto,ordinal,0.8825431034482759
mean,none,none,pca_0.99_full,onehot,0.8858842617631152
mean,none,none,pca_0.99_full,ordinal,0.8739770867430442
mean,none,standard,none,onehot,0.8869277440706013
mean,none,standard,none,ordinal,0.896774193548387
mean,none,standard,pca_0.95_auto,onehot,0.879604178119846
mean,none,standard,pca_0.95_auto,ordinal,0.8931830381105743
mean,none,standard,pca_0.95_full,onehot,0.8863134657836644
mean,none,standard,pca_0.95_full,ordinal,0.9029490616621983
mean,none,standard,pca_0.99_auto,onehot,0.8929359823399559
mean,none,standard,pca_0.99_auto,ordinal,0.886117136659436
mean,none,standard,pca_0.99_full,onehot,0.888030888030888
mean,none,standard,pca_0.99_full,ordinal,0.8962213943587014
mean,none,minmax,none,onehot,0.8740987243483084
mean,none,minmax,none,ordinal,0.8960689283791061
mean,none,minmax,pca_0.95_auto,onehot,0.8797783933518005
mean,none,minmax,pca_0.95_auto,ordinal,0.8943965517241379
mean,none,minmax,pca_0.95_full,onehot,0.8854054054054054
mean,none,minmax,pca_0.95_full,ordinal,0.892992938620315
mean,none,minmax,pca_0.99_auto,onehot,0.8861743475846752
mean,none,minmax,pca_0.99_auto,ordinal,0.8914473684210527
mean,none,minmax,pca_0.99_full,onehot,0.8892455858747994
mean,none,minmax,pca_0.99_full,ordinal,0.8832035595105673
mean,most,none,none,onehot,0.8917410714285714
mean,most,none,none,ordinal,0.9032258064516129
mean,most,none,pca_0.95_auto,onehot,0.8655597214783074
mean,most,none,pca_0.95_auto,ordinal,0.8565121412803532
mean,most,none,pca_0.95_full,onehot,0.8745247148288974
mean,most,none,pca_0.95_full,ordinal,0.8706387546967257
mean,most,none,pca_0.99_auto,onehot,0.8743882544861338
mean,most,none,pca_0.99_auto,ordinal,0.8811563169164882
mean,most,none,pca_0.99_full,onehot,0.8880393227744402
mean,most,none,pca_0.99_full,ordinal,0.8731656184486373
mean,most,standard,none,onehot,0.8794642857142857
mean,most,standard,none,ordinal,0.8945102260495156
mean,most,standard,pca_0.95_auto,onehot,0.8849360755975542
mean,most,standard,pca_0.95_auto,ordinal,0.889487870619946
mean,most,standard,pca_0.95_full,onehot,0.8921568627450981
mean,most,standard,pca_0.95_full,ordinal,0.8875479978058146
mean,most,standard,pca_0.99_auto,onehot,0.8837719298245614
mean,most,standard,pca_0.99_auto,ordinal,0.8835654596100279
mean,most,standard,pca_0.99_full,onehot,0.885227896760022
mean,most,standard,pca_0.99_full,ordinal,0.8874172185430463
mean,most,minmax,none,onehot,0.8846364133406233
mean,most,minmax,none,ordinal,0.8827292110874201
mean,most,minmax,pca_0.95_auto,onehot,0.8775398132894014
mean,most,minmax,pca_0.95_auto,ordinal,0.8961456102783726
mean,most,minmax,pca_0.95_full,onehot,0.8809788654060067
mean,most,minmax,pca_0.95_full,ordinal,0.8949373979314099
mean,most,minmax,pca_0.99_auto,onehot,0.8934559221200649
mean,most,minmax,pca_0.99_auto,ordinal,0.8966267682263329
mean,most,minmax,pca_0.99_full,onehot,0.8903436988543372
mean,most,minmax,pca_0.99_full,ordinal,0.8862612612612613
median,none,none,none,onehot,0.8957399103139013
median,none,none,none,ordinal,0.8966963817514421
median,none,none,pca_0.95_auto,onehot,0.8624252311038608
median,none,none,pca_0.95_auto,ordinal,0.8622448979591837
median,none,none,pca_0.95_full,onehot,0.8784530386740331
