num_impute,cate_impute,scale,pca,encode,f1
none,none,none,none,onehot,0.9073379753615426
none,none,none,none,ordinal,0.905742145178765
none,none,none,pca_0.95_auto,onehot,0.8551351351351352
none,none,none,pca_0.95_auto,ordinal,0.8591397849462366
none,none,none,pca_0.95_full,onehot,0.880675818373812
none,none,none,pca_0.95_full,ordinal,0.8890069038767924
none,none,none,pca_0.99_auto,onehot,0.884310618066561
none,none,none,pca_0.99_auto,ordinal,0.8941798941798942
none,none,none,pca_0.99_full,onehot,0.880509824747743
none,none,none,pca_0.99_full,ordinal,0.8894764674775251
none,none,standard,none,onehot,0.9108485499462943
none,none,standard,none,ordinal,0.9045553145336226
none,none,standard,pca_0.95_auto,onehot,0.887722980062959
none,none,standard,pca_0.95_auto,ordinal,0.8860892388451443
none,none,standard,pca_0.95_full,onehot,0.8873684210526316
none,none,standard,pca_0.95_full,ordinal,0.8829396325459318
none,none,standard,pca_0.99_auto,onehot,0.8905263157894737
none,none,standard,pca_0.99_auto,ordinal,0.887722980062959
none,none,standard,pca_0.99_full,onehot,0.8821052631578947
none,none,standard,pca_0.99_full,ordinal,0.8878406708595388
none,none,minmax,none,onehot,0.9089935760171306
none,none,minmax,none,ordinal,0.9113513513513514
none,none,minmax,pca_0.95_auto,onehot,0.9121114683815649
none,none,minmax,pca_0.95_auto,ordinal,0.9078167115902965
none,none,minmax,pca_0.95_full,onehot,0.9100642398286938
none,none,minmax,pca_0.95_full,ordinal,0.9085037674919269
none,none,minmax,pca_0.99_auto,onehot,0.9096739711384286
none,none,minmax,pca_0.99_auto,ordinal,0.9111470113085622
none,none,minmax,pca_0.99_full,onehot,0.9116229244777718
none,none,minmax,pca_0.99_full,ordinal,0.9101667563206025
none,most,none,none,onehot,0.9103596349973162
none,most,none,none,ordinal,0.90625
none,most,none,pca_0.95_auto,onehot,0.8523706896551724
none,most,none,pca_0.95_auto,ordinal,0.8542227003765466
none,most,none,pca_0.95_full,onehot,0.8793195108984583
none,most,none,pca_0.95_full,ordinal,0.8885350318471338
none,most,none,pca_0.99_auto,onehot,0.8787234042553191
none,most,none,pca_0.99_auto,ordinal,0.8883034773445733
none,most,none,pca_0.99_full,onehot,0.8813559322033898
none,most,none,pca_0.99_full,ordinal,0.8918345705196182
none,most,standard,none,onehot,0.907039226222461
none,most,standard,none,ordinal,0.9083063646170443
none,most,standard,pca_0.95_auto,onehot,0.8870116156282999
none,most,standard,pca_0.95_auto,ordinal,0.8867825171142707
none,most,standard,pca_0.95_full,onehot,0.8864236661384046
none,most,standard,pca_0.95_full,ordinal,0.8861959957850368
none,most,standard,pca_0.99_auto,onehot,0.8827877507919747
none,most,standard,pca_0.99_auto,ordinal,0.8834291688447464
none,most,standard,pca_0.99_full,onehot,0.8858350951374208
none,most,standard,pca_0.99_full,ordinal,0.8857442348008385
none,most,minmax,none,onehot,0.9084092126405999
none,most,minmax,none,ordinal,0.9050701186623517
none,most,minmax,pca_0.95_auto,onehot,0.910455764075067
none,most,minmax,pca_0.95_auto,ordinal,0.9068389876144318
none,most,minmax,pca_0.95_full,onehot,0.9095773140716961
none,most,minmax,pca_0.95_full,ordinal,0.9090909090909091
none,most,minmax,pca_0.99_auto,onehot,0.9115281501340483
none,most,minmax,pca_0.99_auto,ordinal,0.9092872570194385
none,most,minmax,pca_0.99_full,onehot,0.9096739711384286
none,most,minmax,pca_0.99_full,ordinal,0.9044792228818133
mean,none,none,none,onehot,0.9093833780160858
mean,none,none,none,ordinal,0.9119394921663966
mean,none,none,pca_0.95_auto,onehot,0.8546824542518837
mean,none,none,pca_0.95_auto,ordinal,0.8631239935587761
mean,none,none,pca_0.95_full,onehot,0.8816976127320955
mean,none,none,pca_0.95_full,ordinal,0.8899470899470899
mean,none,none,pca_0.99_auto,onehot,0.8845338983050848
mean,none,none,pca_0.99_auto,ordinal,0.8944297082228116
mean,none,none,pca_0.99_full,onehot,0.8813559322033898
mean,none,none,pca_0.99_full,ordinal,0.8872419269454738
mean,none,standard,none,onehot,0.9053981827899519
mean,none,standard,none,ordinal,0.9129259058950784
mean,none,standard,pca_0.95_auto,onehot,0.8846560846560847
mean,none,standard,pca_0.95_auto,ordinal,0.8746048472075869
mean,none,standard,pca_0.95_full,onehot,0.8825697735650342
mean,none,standard,pca_0.95_full,ordinal,0.883843717001056
mean,none,standard,pca_0.99_auto,onehot,0.8870292887029289
mean,none,standard,pca_0.99_auto,ordinal,0.883843717001056
mean,none,standard,pca_0.99_full,onehot,0.8900578642819569
mean,none,standard,pca_0.99_full,ordinal,0.8822605965463108
mean,none,minmax,none,onehot,0.9120171673819742
mean,none,minmax,none,ordinal,0.9111592632719393
mean,none,minmax,pca_0.95_auto,onehot,0.9102564102564102
mean,none,minmax,pca_0.95_auto,ordinal,0.9097784981091303
mean,none,minmax,pca_0.95_full,onehot,0.9112299465240642
mean,none,minmax,pca_0.95_full,ordinal,0.9116531165311653
